Unnamed: 0,app_id,app_name,review_id,language,review,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
0,292030,The Witcher 3: Wild Hunt,85185598,schinese,不玩此生遗憾，RPG游戏里的天花板，太吸引人了,1611381629,1611381629,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,6,2,1909,1448,1909,1611343383
1,292030,The Witcher 3: Wild Hunt,85185250,schinese,拔DIAO无情打桩机--杰洛特!!!,1611381030,1611381030,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,30,10,2764,2743,2674,1611386307
2,292030,The Witcher 3: Wild Hunt,85185111,schinese,巫师3NB,1611380800,1611380800,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,5,1,1061,1061,1060,1611383777
3,292030,The Witcher 3: Wild Hunt,85184605,english,"One of the best RPG's of all time, worthy of any collection",1611379970,1611379970,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,5,3,5587,3200,5524,1611383744
4,292030,The Witcher 3: Wild Hunt,85184287,schinese,大作,1611379427,1611379427,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,7,4,217,42,217,1610788249
5,292030,The Witcher 3: Wild Hunt,85184171,english,"good story, good graphics. lots to do.",1611379264,1611379264,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,11,1,823,823,823,1611379201
6,292030,The Witcher 3: Wild Hunt,85184064,english,"dis gud,",1611379091,1611379091,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,27,2,4192,3398,4192,1611351734
7,292030,The Witcher 3: Wild Hunt,85183602,turkish,".
",1611378312,1611378312,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,9,1,2701,0,2701,1609671218
8,292030,The Witcher 3: Wild Hunt,85183227,schinese,年度最佳的作品，没啥好夸的，神作,1611377703,1611377703,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,581,17,6921,222,6921,1611317275
9,292030,The Witcher 3: Wild Hunt,85182785,spanish,great game,1611377005,1611377005,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,38,5,2399,333,2364,1611379080
10,292030,The Witcher 3: Wild Hunt,85182697,schinese,神作！不bb,1611376831,1611376831,TRUE,0,0,0,0,FALSE,FALSE,FALSE,7.66E+16,29,1,5368,1471,5368,1611371665
11,292030,The Witcher 3: Wild Hunt,85182372,russian,"Шикарная игра с отличным сюжетом, неплохой графикой и большим открытым миром. В добавок, мой любимый жанр. Всем рекомендую.",1611376281,1611376281,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,11,2,508,508,348,1611386568
12,292030,The Witcher 3: Wild Hunt,85182067,schinese,"什么?你儿子失踪了?什么?这栋房子闹鬼?什么?你猜到我要玩""来句昆特牌""的梗?
抱歉这个梗我玩一辈子(狗头)",1611375772,1611375772,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,20,1,6598,29,6598,1610715923
13,292030,The Witcher 3: Wild Hunt,85181146,russian,Замечательная карточная игра в антураже фэнтези-рпг),1611374238,1611374309,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,501,23,7310,0,7310,1525554549
14,292030,The Witcher 3: Wild Hunt,85181114,koreana,가성비 짱,1611374195,1611374195,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,1,1,3285,3084,3205,1611385840
15,292030,The Witcher 3: Wild Hunt,85180815,latam,"The witcher 3 es un gran juego RPG, permite gran variedad de decisiones que afectan el rumbo de la historia. Ofrece una gran cantidad de horas de juego, en mi caso 60 horas solo la campaña principal junto con algunos contratos de brujo y secundarias (muy pocas), aún me faltan los dlc´s. En conclusión, si quieres un juego largo, entretenido y con una buena historia, es una muy buena compra.",1611373708,1611373708,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,5,1,3586,0,3586,1609390978
16,292030,The Witcher 3: Wild Hunt,85180734,schinese,当你玩进去之后，一切都顺理成章了起来,1611373593,1611373593,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,9,1,5483,2184,5483,1611371203
17,292030,The Witcher 3: Wild Hunt,85180438,schinese,剑舞天下无敌！！,1611373087,1611373087,TRUE,0,0,0,0,FALSE,FALSE,FALSE,7.66E+16,66,7,5442,1643,5396,1611386646
18,292030,The Witcher 3: Wild Hunt,85180436,english,favorite game of all time cant wait for the NexGen Versiion,1611373086,1611373086,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,33,1,23329,177,23329,1611219011
19,292030,The Witcher 3: Wild Hunt,85179968,schinese,打桩,1611372286,1611372286,TRUE,0,0,0,0,FALSE,FALSE,FALSE,7.66E+16,31,5,2153,46,2153,1611325386
20,292030,The Witcher 3: Wild Hunt,85179753,english,Why wouldn't you get this,1611371978,1611371978,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,131,2,8557,2004,8557,1611370967
21,292030,The Witcher 3: Wild Hunt,85179400,english,"it is ok
",1611371392,1611371392,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,60,9,2518,242,2518,1611371338
22,292030,The Witcher 3: Wild Hunt,85179341,english,"worth
",1611371318,1611371318,TRUE,0,0,0,0,TRUE,FALSE,FALSE,7.66E+16,59,5,553,35,517,1611373633
